"RoleName","Operation","Allowed"
"Contributor","Microsoft.ApiManagement/service/products/tags/delete","True"
"Contributor","Microsoft.ApiManagement/service/subscriptions/read","True"
"Contributor","Microsoft.ApiManagement/service/subscriptions/write","True"
"Contributor","Microsoft.ApiManagement/service/subscriptions/delete","True"
"Contributor","Microsoft.ApiManagement/service/subscriptions/regeneratePrimaryKey/action","True"
"Contributor","Microsoft.ApiManagement/service/subscriptions/regenerateSecondaryKey/action","True"
"Contributor","Microsoft.ApiManagement/service/subscriptions/listSecrets/action","True"
"Contributor","Microsoft.ApiManagement/service/apis/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/policies/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/policies/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/policies/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/tags/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/tags/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/tags/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/revisions/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/revisions/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/releases/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/releases/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/releases/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/policies/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/policies/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/policies/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/products/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/schemas/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/schemas/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/schemas/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/tagDescriptions/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/tagDescriptions/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/tagDescriptions/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/tags/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/tags/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/tags/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/operationsByTags/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/diagnostics/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/diagnostics/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/diagnostics/delete","True"
"Contributor","Microsoft.ApiManagement/service/policies/read","True"
"Contributor","Microsoft.ApiManagement/service/policies/write","True"
"Contributor","Microsoft.ApiManagement/service/policies/delete","True"
"Contributor","Microsoft.ApiManagement/service/reports/read","True"
"Contributor","Microsoft.ApiManagement/service/policySnippets/read","True"
"Contributor","Microsoft.ApiManagement/service/certificates/read","True"
"Contributor","Microsoft.ApiManagement/service/certificates/write","True"
"Contributor","Microsoft.ApiManagement/service/certificates/delete","True"
"Contributor","Microsoft.ApiManagement/service/certificates/refreshSecret/action","True"
"Contributor","Microsoft.ApiManagement/service/loggers/read","True"
"Contributor","Microsoft.ApiManagement/service/loggers/write","True"
"Contributor","Microsoft.ApiManagement/service/loggers/delete","True"
"Contributor","Microsoft.ApiManagement/service/authorizationServers/read","True"
"Contributor","Microsoft.ApiManagement/service/authorizationServers/write","True"
"Contributor","Microsoft.ApiManagement/service/authorizationServers/delete","True"
"Contributor","Microsoft.ApiManagement/service/authorizationServers/listSecrets/action","True"
"Contributor","Microsoft.ApiManagement/service/backends/read","True"
"Contributor","Microsoft.ApiManagement/service/backends/write","True"
"Contributor","Microsoft.ApiManagement/service/backends/delete","True"
"Contributor","Microsoft.ApiManagement/service/backends/reconnect/action","True"
"Contributor","Microsoft.ApiManagement/service/templates/read","True"
"Contributor","Microsoft.ApiManagement/service/templates/write","True"
"Contributor","Microsoft.ApiManagement/service/templates/delete","True"
"Contributor","Microsoft.ApiManagement/service/properties/read","True"
"Contributor","Microsoft.ApiManagement/service/properties/write","True"
"Contributor","Microsoft.ApiManagement/service/properties/delete","True"
"Contributor","Microsoft.ApiManagement/service/properties/listSecrets/action","True"
"Contributor","Microsoft.ApiManagement/service/notifications/read","True"
"Contributor","Microsoft.ApiManagement/service/notifications/write","True"
"Contributor","Microsoft.ApiManagement/service/notifications/recipientEmails/read","True"
"Contributor","Microsoft.ApiManagement/service/notifications/recipientEmails/write","True"
"Contributor","Microsoft.ApiManagement/service/notifications/recipientEmails/delete","True"
"Contributor","Microsoft.ApiManagement/service/notifications/recipientUsers/read","True"
"Contributor","Microsoft.ApiManagement/service/notifications/recipientUsers/write","True"
"Contributor","Microsoft.ApiManagement/service/notifications/recipientUsers/delete","True"
"Contributor","Microsoft.ApiManagement/service/openidConnectProviders/read","True"
"Contributor","Microsoft.ApiManagement/service/openidConnectProviders/write","True"
"Contributor","Microsoft.ApiManagement/service/openidConnectProviders/delete","True"
"Contributor","Microsoft.ApiManagement/service/openidConnectProviders/listSecrets/action","True"
"Contributor","Microsoft.ApiManagement/service/quotas/read","True"
"Contributor","Microsoft.ApiManagement/service/quotas/write","True"
"Contributor","Microsoft.ApiManagement/service/quotas/periods/read","True"
"Contributor","Microsoft.ApiManagement/service/quotas/periods/write","True"
"Contributor","Microsoft.ApiManagement/service/identityProviders/read","True"
"Contributor","Microsoft.ApiManagement/service/identityProviders/write","True"
"Contributor","Microsoft.ApiManagement/service/identityProviders/delete","True"
"Contributor","Microsoft.ApiManagement/service/identityProviders/listSecrets/action","True"
"Contributor","Microsoft.ApiManagement/service/portalSettings/read","True"
"Contributor","Microsoft.ApiManagement/service/portalSettings/write","True"
"Contributor","Microsoft.ApiManagement/service/portalSettings/listSecrets/action","True"
"Contributor","Microsoft.ApiManagement/service/diagnostics/read","True"
"Contributor","Microsoft.ApiManagement/service/diagnostics/write","True"
"Contributor","Microsoft.ApiManagement/service/diagnostics/delete","True"
"Contributor","Microsoft.ApiManagement/service/tags/read","True"
"Contributor","Microsoft.ApiManagement/service/tags/write","True"
"Contributor","Microsoft.ApiManagement/service/tags/delete","True"
"Contributor","Microsoft.ApiManagement/service/tagResources/read","True"
"Contributor","Microsoft.ApiManagement/service/apisByTags/read","True"
"Contributor","Microsoft.ApiManagement/service/productsByTags/read","True"
"Contributor","Microsoft.ApiManagement/service/users/confirmations/send/action","True"
"Contributor","Microsoft.ApiManagement/service/apiVersionSets/read","True"
"Contributor","Microsoft.ApiManagement/service/apiVersionSets/write","True"
"Contributor","Microsoft.ApiManagement/service/apiVersionSets/delete","True"
"Contributor","Microsoft.ApiManagement/service/apiVersionSets/versions/read","True"
"Contributor","Microsoft.ApiManagement/service/contentTypes/read","True"
